id,edge1,edge2,node1,node2,capacity,is_closed
0,0,1,0,1,1800391,0
1,0,0,1,0,1800390,0
2,1,3,2,3,8385000,0
3,1,2,3,2,8385000,0
4,2,5,4,5,100000,0
5,2,4,5,4,100000,0
6,3,7,2,6,8385000,0
7,3,6,6,2,8385000,0
8,4,9,7,8,2569575,0
9,4,8,8,7,2569575,0
10,5,11,9,10,750000,0
11,5,10,10,9,750000,0
12,6,13,11,12,44444444,0
13,6,12,12,11,44444444,0
14,7,15,13,14,3000000,0
15,7,14,14,13,3000000,0
16,8,17,15,16,111111111,0
17,8,16,16,15,111111111,0
18,9,19,13,17,2500000,0
19,9,18,17,13,2500000,0
20,10,21,18,13,500000,0
21,10,20,13,18,500000,0
22,11,23,19,20,1000000,0
23,11,22,20,19,1000000,0
24,12,25,21,22,4852067,0
25,12,24,22,21,4852066,0
26,13,27,21,22,3960233,0
27,13,26,22,21,3960232,0
28,14,29,16,23,3000000,0
29,14,28,23,16,3000000,0
30,15,31,15,24,2577447,0
31,15,30,24,15,2577447,0
32,16,33,25,12,18750000,0
33,16,32,12,25,18750000,0
34,17,35,26,27,134482,0
35,17,34,27,26,134481,0
36,18,37,28,29,1000000,0
37,18,36,29,28,1000000,0
38,19,39,30,13,5000000,0
39,19,38,13,30,5000000,0
40,20,41,31,13,2500000,0
41,20,40,13,31,2500000,0
42,21,43,32,33,500000,0
43,21,42,33,32,500000,0
44,22,45,20,34,1000000,0
45,22,44,34,20,1000000,0
46,23,47,26,35,126282,0
47,23,46,35,26,126282,0
48,24,49,36,37,500000,0
49,24,48,37,36,500000,0
50,25,51,28,38,7500000,0
51,25,50,38,28,7500000,0
52,26,53,39,13,250000,0
53,26,52,13,39,250000,0
54,27,55,40,41,1500000,0
55,27,54,41,40,1500000,0
56,28,57,42,43,2500000,0
57,28,56,43,42,2500000,0
58,29,59,44,13,500000,0
59,29,58,13,44,500000,0
60,30,61,26,45,16246,0
61,30,60,45,26,16245,0
62,31,63,46,12,8388608,0
63,31,62,12,46,8388607,0
64,32,65,47,32,2000000,0
65,32,64,32,47,2000000,0
66,33,67,48,20,1000000,0
67,33,66,20,48,1000000,0
68,34,69,49,13,2500000,0
69,34,68,13,49,2500000,0
70,35,71,50,10,12500000,0
71,35,70,10,50,12500000,0
72,36,73,51,32,500000,0
73,36,72,32,51,500000,0
74,37,75,52,53,3593804,0
75,37,74,53,52,3593803,0
76,38,77,54,20,1000000,0
77,38,76,20,54,1000000,0
78,39,79,55,32,2825000,0
79,39,78,32,55,2825000,0
80,40,81,56,41,5000000,0
81,40,80,41,56,5000000,0
82,41,83,26,57,500000,0
83,41,82,57,26,500000,0
84,42,85,58,41,550000,0
85,42,84,41,58,550000,0
86,43,87,52,59,1562649,0
87,43,86,59,52,1562648,0
88,44,89,37,60,5000000,0
89,44,88,60,37,5000000,0
90,45,91,61,12,2510966,0
91,45,90,12,61,2510965,0
92,46,93,62,32,100000000,0
93,46,92,32,62,100000000,0
94,47,95,63,20,1000000,0
95,47,94,20,63,1000000,0
96,48,97,52,64,5000000,0
97,48,96,64,52,5000000,0
98,49,99,65,12,107400245,0
99,49,98,12,65,107400244,0
100,50,101,66,32,8388608,0
101,50,100,32,66,8388607,0
102,51,103,67,12,150000,0
103,51,102,12,67,150000,0
104,52,105,68,28,3750000,0
105,52,104,28,68,3750000,0
106,53,107,69,32,2500000,0
107,53,106,32,69,2500000,0
108,54,109,70,37,50000000,0
109,54,108,37,70,50000000,0
110,55,111,71,13,250000,0
111,55,110,13,71,250000,0
112,56,113,72,20,1000000,0
113,56,112,20,72,1000000,0
114,57,115,73,10,50000000,0
115,57,114,10,73,50000000,0
116,58,117,74,28,10002,0
117,58,116,28,74,10002,0
118,59,119,75,76,15000000,0
119,59,118,76,75,15000000,0
120,60,121,77,13,3750000,0
121,60,120,13,77,3750000,0
122,61,123,78,41,1000000,0
123,61,122,41,78,1000000,0
124,62,125,79,43,44444444,0
125,62,124,43,79,44444444,0
126,63,127,41,80,2000000,0
127,63,126,80,41,2000000,0
128,64,129,41,81,3500000,0
129,64,128,81,41,3500000,0
130,65,131,82,83,500056,0
131,65,130,83,82,500055,0
132,66,133,84,85,400000,0
133,66,132,85,84,400000,0
134,67,135,86,41,5000000,0
135,67,134,41,86,5000000,0
136,68,137,87,20,1000000,0
137,68,136,20,87,1000000,0
138,69,139,88,12,1000000,0
139,69,138,12,88,1000000,0
140,70,141,15,89,44444444,0
141,70,140,89,15,44444444,0
142,71,143,90,20,1000000,0
143,71,142,20,90,1000000,0
