id,open_edges
0,0-8998-14587-21454-32046-35078-42942-45399-49347-50079-52484-52833-53398-58272-63644-74624-74644-78468-79404-81640-81762-87148-100040-106847
1,1-36293-103479
2,2-6-3436-4130-5324-5428-5790-5888-6212-6258-6778-9960-10956-11206-11332-11346-14134-15202-15876-18792-20234-21446-23738-24294-24494-25098-25146-26696-27932-30164-31882-32772-33104-34780-37294-39396-39398-42512-46264-46710-47752-48992-50844-53962-55066-60608-60924-64896-69582-72322-72942-74380-77236-78382-78934-80754-82016-86276-88318-97138-102576-105088-108952-112204-113234-114404
3,3-186-296-347-512-604-732-778-916-946-1004-1024-1118-1135-1226-1254-1318-1341-1746-1960-1990-2032-2114-2247-2277-2400-2499-2527-2768-2810-2865-2877-2920-2923-3008-3087-3265-3437-3571-3659-3776-3862-3872-3982-3986-4128-4131-4138-4304-4431-4632-4857-4894-4940-5014-5204-5429-5791-5889-5904-5912-6213-6259-6267-6685-6712-6757-6772-6997-7062-7084-7095-7106-7164-7174-7368-7604-7688-7761-7912-7921-8053-8143-8288-8310-8616-8695-8800-8842-8847-9054-9108-9145-9156-9322-9479-9780-9811-9830-9915-9940-9961-10059-10079-10260-10548-10570-10586-10648-10714-11029-11078-11144-11258-11276-11333-11347-11462-11529-11717-11865-11890-11974-12007-12066-12128-12223-12510-12752-12782-12972-13050-13106-13205-13352-13383-13488-13683-13727-13837-13966-14135-14150-14260-14396-14488-14757-14759-14828-14832-15194-15203-15268-15357-15523-15722-15790-15806-15877-15975-16021-16196-16390-16550-16558-16795-16838-17066-17322-17582-17711-17717-17944-17954-17994-18327-18378-18479-18654-18780-18793-18879-18920-19041-19101-19260-19352-19396-19486-19628-19716-19919-19980-20021-20235-20281-20299-20305-20395-20418-20654-20769-20850-21011-21028-21182-21268-21441-21447-21523-21558-21768-21837-21935-22076-22308-22398-22502-22510-22532-22572-22642-22686-22729-22918-22954-23214-23276-23297-23434-23442-23739-23760-23790-23928-24002-24018-24073-24112-24212-24295-24298-24495-24523-24542-24582-24878-24915-25070-25099-25192-25279-25361-25418-25605-25839-25841-26232-26546-26555-26697-26753-26868-27055-27133-27149-27212-27263-27477-27527-27840-27933-28161-28191-28332-28355-28724-28796-28934-28951-28994-29112-29159-29183-29264-29320-29322-29343-29479-29515-29688-30165-30332-30391-30666-30816-31117-31251-31383-31655-31660-31829-31832-31876-31883-31894-31916-32122-32196-32300-32316-32647-32773-33047-33105-33148-33248-33481-33630-33638-33767-34123-34255-34356-34646-34781-34814-34822-35026-35110-35215-35235-35303-35543-35761-36024-36084-36154-36287-36308-36368-36436-36620-36716-36721-36792-36803-36970-37048-37088-37295-37329-113430
4,4-17571-61156-61648-76112-77266-97405-114272
5,5
6,7-9290-11797-13168-13179-17709-21325-21907-22987-23837-30057-30505-32831-33841-37361-37389-37562-39089-40223-41115-42155-42294-42305-42513-43691-44125-44172-44241-45157-45284-46265-47031-47753-48139-48977-49489-50127-50247-50649-50865-52295-53373-53753-53963-54264-54407-54717-55155-55861-56217-56678-57517-57613-58275-58475-60303-60467-60602-60925-61014-61681-62757-63661-63809-64723-65450-65565-67375-67549-68000-68351-68383-68532-68623-69594-69979-70122-72323-73193-73611-74016-74107-74571-76127-76565-76749-77118-77419-77989-78249-78250-78307-79389-80351-80739-81179-81303-81523-82017-82959-84527-84991-85627-86875-87395-88243-88277-88554-89945-90078-91019-92079-92107-92840-92855-92969-93118-93658-94569-95021-95368-95473-96317-97063-98737-99415-99786-101678-101917-102101-102720-103051-103101-103145-103763-104262-105114-106187-107923-108159-109072-109229-111245-112618-113039-114501-114646-114809
7,8-13555-22920-37386-37526-37617-37750-37769-37879-37934-37958-38265-38453-38749-39072-39164-39581-39797-39945-40076-40175-40459-40992-41504-41570-41878-42080-42170-42354-42618-42668-43049-43614-43618-43662-44015-44267-44417-44535-44540-44676-44696-45549-46188-46361-46818-46854-47032-47394-47672-47731-47834-47869-48715-48827-48897-48921-48940-49659-50150-50302-50388-50704-51161-51242-51518-51684-51802-51948-52128-52280-52358-52412-52512-52689-52768-53256-53460-53906-53972-54255-54547-54937-55040-55149-55248-55311-55417-55724-56266-56654-56708-56730-56829-57153-57286-57336-57642-57732-57995-58045-58498-58526-58618-58708-58742-58845-59394-59511-59618-59702-59795-59858-60149-60310-60362-60641-60870-61075-61320-61725-61752-62276-62282-62291-62534-62539-62689-62874-63052-63545-63629-63968-64172-64189-64538-64654-64816-64821-65050-65155-65231-65255-65492-65630-65692-66329-66487-66611-66877-66994-67187-67320-67586-67621-67934-68049-68053-68166-68467-68689-68776-68864-69086-69471-69843-70094-70102-70487-70642-71000-71228-71462-71494-71541-72937-73029-73124-73528-73840-73852-74092-74127-74154-74265-74760-74782-74801-74886-75046-75364-75603-75633-75656-75709-75872-76132-76635-76897-77037-77228-77596-77612-77716-77840-77892-78359-78416-78657-78798-79182-79280-79602-80286-80302-80506-80779-80781-80960-81378-81869-82020-82076-82284-82394-83510-83565-84141-84147-84919-85224-85425-85971-86082-86176-86194-86610-86779-86825-86838-87206-87374-87439-87520-87590-87630-87892-88023-88185-88379-88884-89602-89796-89895-90286-90368-90528-90638-90673-91124-91252-91318-91554-91648-91672-91830-91996-92038-92083-92477-92592-93327-93402-93588-93733-93870-94208-94374-94462-94804-95318-95628-96172-96207-96232-96385-96417-96824-97005-97094-97149-97296-97764-98084-98258-98520-98963-99505-100718-100948-101418-102467-102621-102640-102828-102944-103346-103430-103435-103698-104298-104574-104627-104759-104863-104941-105048-105250-105342-105647-106334-106608-106758-106875-107295-107309-107342-107935-108074-108538-108674-108810-108942-108976-108996-109004-109060-109074-109140-109260-109332-109390-109444-109539-109579-109674-110299-111029-111337-111488-111575-111764-111841-111886-112068-112093-112262-112535-112617-112624-112981-112999-113164-113681-113748-113801-114022-114044-114507-114660-114846
8,9-949-2102-3931-4254-16044-20190-20572-22240-23656-31181-35063-37637-38450-39249-39425-40863-42522-47445-53901-54630-57633-61641-67447-68280-71426-73989-74711-81857-84508-88479-92585-93302-95251-100843-104158-104934-105528-105921-111062-112060-113231-113371-113516-114309
9,10-9600-29567-31766-33700-41152-57050-62824-69403-91539-98290
10,11-71-115-203-305-427-469-527-661-849-1028-1207-1213-1222-1305-1485-1621-1644-1829-2001-2049-2167-2245-2249-2485-2579-2625-2695-2791-2901-2908-3269-3523-4047-4089-4093-4103-4150-4255-4477-4611-4843-4949-4967-5025-5075-5113-5195-5301-5325-5491-5737-5779-5817-5910-5929-5937-6079-6177-6279-6365-6413-6507-6537-6623-6771-6779-6793-6803-6915-7049-7103-7175-7209-7651-7941-7959-8260-8385-8402-8435-8443-8713-8873-8889-8905-9037-9039-9343-9429-9787-9887-9965-10049-10243-10263-10405-10495-10507-10569-10587-10695-10957-11207-11261-11383-11429-11453-11877-11966-12141-12495-12501-12529-12593-12715-12897-13019-13029-13123-13136-13277-13483-13507-13508-13549-13627-13911-14031-14099-14161-14235-14483-14625-14853-14968-15115-15321-15581-15751-15849-15883-15925-16017-16111-16451-16457-16607-16670-16769-16903-17132-17179-17243-17415-17487-17541-17693-17967-18007-18247-18293-18329-18335-18445-18481-18483-18497-18549-18799-18933-19251-19354-19495-20107-20289-20319-20325-20469-20585-20589-20599-21029-21064-21069-21151-21311-21393-21403-21483-21703-21845-21981-22039-22068-22129-22323-22341-22519-22847-22889-23041-23322-23377-23573-23658-24150-24559-24793-24939-25147-25362-25369-25415-25753-25809-25873-26080-26192-26215-26245-26645-26843-27025-27231-27315-27417-27564-27601-27617-27779-27956-28209-28232-28463-28505-28905-28933-29017-29527-29729-29935-29937-29945-30073-30191-30437-30491-30687-30903-31259-31291-31309-31315-31713-31907-31915-31997-32034-32038-32089-32097-32105-32265-32275-32323-32665-32720-32827-33031-33101-33141-33233-33269-33653-33796-33833-33929-33980-34133-34185-34275-34495-34521-34575-34582-34601-34610-34653-34769-35011-35035-35106-35207-35311-35339-35421-35485-35489-35596-35674-35701-35911-36018-36076-36280-36327-36355-36479-36489-37081
11,12-1342-1632-4978-5286-5758-10136-11704-14242-14758-15394-17962-18120-19780-20066-20752-22394-22694-23926-24034-24616-25508-25570-25716-27464-29192-31186-34680-35234-38190-38592-38638-38726-38984-39006-39065-39104-39158-39162-40222-40302-40350-40756-41972-42578-42712-43552-43874-44134-44566-44879-45952-46088-47019-47194-47260-47468-48816-49246-49542-49962-51062-51296-51738-51864-52478-52488-52915-53064-54318-54428-54510-54716-54920-55154-55414-55496-55794-56608-57391-57612-58090-58427-58449-58786-58916-59536-59814-60466-60836-61391-61664-61704-62118-62782-63264-63328-63411-63674-63837-64460-64586-64606-65028-65290-65885-66416-66832-66974-67530-67567-67584-68214-68380-68828-69178-69200-69762-70056-70224-70246-70660-70688-71126-71148-71824-72012-72036-72247-72328-72404-72422-73775-74970-75413-75640-75717-75882-76035-76062-76172-77333-77511-77820-77842-77936-77964-78694-79194-79415-79582-80130-80452-80596-80864-81048-81164-81272-82140-82710-82970-83624-83901-83928-84426-84526-84546-84926-85502-86088-86972-88203-88448-88486-88552-88647-89168-89944-90754-91098-91192-91232-91474-91794-92772-92906-92972-93202-93246-93740-93778-93780-94590-94952-95090-95300-95696-96280-97404-97606-98682-98985-99427-100166-100254-100308-100946-100952-101152-101356-101590-101756-101790-101847-101916-101934-102180-102256-102412-102852-103194-103522-103762-103976-104123-104244-104252-104748-104752-105445-105484-105531-106148-106598-107812-107922-108718-108926-109756-109962-109986-110032-110169-111244-111308-111496-111562-111632-111686-111826-111960-111980-112498-112663-112774-112871-113034-113386-114170-114358-114510-114836-114850-114870
