id,sender_id,receiver_id,amount,start_time,end_time,mpp,is_success,no_balance_count,offline_node_count,timeout_exp,attempts,route,total_fee
0,3,0,10099,232,832,0,1,0,0,0,1,9-6-1,200
1,5,14,9990,326,1121,0,1,0,0,0,1,14-11-9-20,210
2,9,6,9319,1056,1853,0,1,0,0,0,1,25-10-15-12,300
3,7,4,11284,2767,3367,0,1,0,0,0,1,15-5-2,200
4,7,3,10467,4886,5087,0,1,0,0,0,1,11,0
5,1,4,9612,5012,5602,0,1,0,0,0,1,6-1-2,200
6,4,14,10418,5879,6278,0,1,0,0,0,1,32-34,100
7,7,9,9082,5893,6290,0,1,0,0,0,1,11-24,100
8,4,1,10715,6289,6884,0,1,0,0,0,1,3-0-7,200
9,13,2,10539,6383,6982,0,1,0,0,0,1,33-3-0,200
10,3,15,9979,6611,7407,0,1,0,0,0,1,10-15-12-19,300
11,10,11,10440,7568,7768,0,1,0,0,0,1,26,0
12,0,9,8124,7569,8368,0,1,0,0,0,1,0-7-8-24,210
13,11,8,10491,10167,11163,0,1,0,0,0,1,29-14-11-9-22,310
14,15,0,10881,11789,12388,0,1,0,0,0,1,18-17-3,200
15,10,13,8989,12655,13651,0,1,0,0,0,1,26-29-5-2-32,400
16,15,1,8806,14335,15328,0,1,0,0,0,1,18-13-14-11-9,310
17,5,8,11361,14552,18135,0,1,14,0,0,15,14-11-9-22,210
18,7,1,9743,14670,15662,0,1,1,0,0,2,15-5-0-7,300
19,7,4,10817,14926,25678,0,1,51,0,0,52,15-5-2,200
20,13,15,8009,15934,16529,0,1,0,0,0,1,33-16-19,200
21,6,12,10448,16151,16351,0,1,0,0,0,1,30,0
22,14,11,10280,16598,17594,0,1,0,0,0,1,21-8-10-15-28,310
23,6,0,11545,16840,17234,0,1,0,0,0,1,17-3,100
24,12,2,10401,17294,18094,0,1,0,0,0,1,31-17-3-0,300
25,10,3,10312,17488,35786,0,1,53,0,0,54,26-29-5-0-7-8,410
26,10,15,8446,18363,19162,0,1,0,0,0,1,26-29-12-19,300
27,14,15,10407,23553,24349,0,1,0,0,0,1,35-33-16-19,300
28,1,7,11419,24267,24666,0,1,0,0,0,1,8-10,100
29,5,15,9898,24432,24828,0,1,0,0,0,1,12-19,100
30,0,5,9704,25082,25284,0,1,0,0,0,1,4,0
31,11,13,10073,25672,27262,0,1,2,0,0,3,29-14-11-9-20-35,410
32,7,15,10050,25692,26287,0,1,0,0,0,1,15-12-19,200
33,7,9,9880,25974,26371,0,1,0,0,0,1,11-24,100
34,15,12,10507,26029,26426,0,1,0,0,0,1,18-30,100
35,11,3,9972,26920,32691,0,1,13,0,0,14,29-14-11,200
36,11,8,8886,27366,27366,0,0,1,0,0,2,29-14-11-9-22,310
37,9,14,9669,27641,32239,0,1,6,0,0,7,25-10-15-12-17-32-34,600
38,14,13,9125,27727,27928,0,1,0,0,0,1,35,0
39,12,8,10194,28985,52465,0,1,82,0,0,83,31-17-32-34-21-22,500
40,14,2,10536,30408,30802,0,1,0,0,0,1,21-6,100
41,15,11,10283,30710,31307,0,1,0,0,0,1,18-13-28,200
42,12,9,9099,30796,33184,0,1,3,0,0,4,31-17-3-0-7-8-24,510
43,10,3,8839,32654,32654,0,0,1,0,0,2,26-29-14-11,300
44,5,10,9466,32715,33110,0,1,0,0,0,1,28-27,100
45,6,7,11360,33840,34236,0,1,0,0,0,1,13-14,100
46,1,12,10801,33928,34920,0,1,0,0,0,1,6-1-4-12-30,400
47,1,12,8904,35642,42614,0,1,10,0,0,11,6-1-4-12-30,400
48,13,14,10591,36532,36727,0,1,0,0,0,1,34,0
49,13,0,11577,36963,37359,0,1,0,0,0,1,33-3,100
50,4,11,8986,41268,41866,0,1,1,0,0,2,16-13-28,200
51,2,1,10053,43957,44157,0,1,0,0,0,1,7,0
52,7,11,10531,44233,44630,0,1,0,0,0,1,15-28,100
53,11,0,10845,46437,46837,0,1,0,0,0,1,29-5,100
54,5,9,9095,46979,57128,0,1,48,0,0,49,14-11-24,200
55,1,10,10215,47211,48210,0,1,0,0,0,1,6-1-4-28-27,400
56,15,5,11702,47448,47848,0,1,0,0,0,1,18-13,100
57,6,9,10510,48199,49791,0,1,1,0,0,2,13-5-0-7-8-24,410
58,12,1,10670,48753,50538,0,1,2,0,0,3,31-17-32-34-21,400
59,13,6,8956,51065,51462,0,1,0,0,0,1,33-16,100
60,5,12,11609,51846,52243,0,1,0,0,0,1,12-30,100
61,1,4,9040,52011,52605,0,1,0,0,0,1,6-1-2,200
62,2,1,9772,53147,53347,0,1,0,0,0,1,7,0
63,5,9,11630,55020,59995,0,1,22,0,0,23,14-11-24,200
64,8,7,10934,56317,56914,0,1,0,0,0,1,23-8-10,110
65,0,9,10271,57362,60340,0,0,5,0,0,6,0-7-8-24,210
66,9,6,9448,58864,59660,0,1,0,0,0,1,25-10-15-12,300
67,1,9,9452,59719,59917,0,0,1,0,0,2,8-24,100
68,3,8,9943,60146,60544,0,1,0,0,0,1,9-22,100
69,13,0,9146,61148,61542,0,1,0,0,0,1,33-3,100
70,0,6,9807,61576,62176,0,1,1,0,0,2,2-16,100
71,13,9,11301,62236,62832,0,0,1,0,0,2,34-21-8-24,210
72,9,2,10318,63547,64145,0,1,0,0,0,1,25-9-6,110
73,13,7,11547,65811,66608,0,1,0,0,0,1,34-21-8-10,210
74,8,10,10446,66836,68034,0,1,0,0,0,1,23-8-10-15-28-27,410
75,5,15,8992,68739,70334,0,1,1,0,0,2,14-11-9-6-1-2-16-19,610
76,14,6,10260,70122,70717,0,1,0,0,0,1,35-33-16,200
77,13,12,8898,73918,74513,0,1,0,0,0,1,33-16-30,200
78,12,10,9422,74086,74882,0,1,0,0,0,1,31-13-28-27,300
79,0,6,10499,74399,74997,0,1,1,0,0,2,2-16,100
80,2,12,8206,75869,76665,0,1,0,0,0,1,1-4-12-30,300
81,10,15,7613,76715,78304,0,1,1,0,0,2,26-29-5-2-16-19,500
82,7,15,11190,78072,78470,0,0,2,0,0,3,15-5-2-16-19,400
83,15,4,9755,78091,78490,0,1,0,0,0,1,18-17,100
84,7,3,9479,79933,80131,0,1,0,0,0,1,11,0
85,13,5,10043,80279,80876,0,1,0,0,0,1,33-3-4,200
86,10,12,9965,81530,83120,0,1,1,0,0,2,26-29-5-2-16-30,500
87,12,4,10102,81700,82101,0,1,0,0,0,1,31-17,100
88,11,7,8839,84489,84891,0,1,0,0,0,1,29-14,100
89,6,4,9682,85985,86184,0,1,0,0,0,1,17,0
90,6,3,8695,90595,92186,0,1,2,0,0,3,17-3-0-7-8,310
91,15,9,10854,91993,93986,0,1,1,0,0,2,18-17-3-0-7-8-24,510
92,10,15,7963,92357,93152,0,0,2,0,0,3,26-29-5-2-16-19,500
93,7,5,11247,92414,92613,0,1,0,0,0,1,15,0
94,2,0,9750,92653,92850,0,1,0,0,0,1,1,0
95,1,10,9588,92823,93819,0,1,0,0,0,1,6-1-4-28-27,400
96,3,5,11150,92908,93308,0,1,0,0,0,1,10-15,100
