id,sender_id,receiver_id,amount,start_time
0,5426,12975,100306,1
1,1667,3933,99713,506
2,2423,5047,101305,1011
3,12173,7011,99734,1386
4,8916,6825,99732,3490
5,2987,356,102014,5942
6,5429,5949,98006,6093
7,12219,2577,100654,7351
8,12599,10445,99396,8529
9,6742,11403,99224,8590
10,11426,8724,100198,9136
11,8739,12464,100909,9356
12,9002,3768,99172,10515
13,10192,10860,99714,10549
14,9760,8119,99156,10878
15,5805,10270,99708,10954
16,5827,6105,100558,11293
17,1554,1691,99609,11380
18,8833,11930,99096,12056
19,7604,694,101900,13007
20,1909,12446,98463,14210
21,3005,1331,97576,17204
22,9035,6415,101102,17255
23,9960,6973,100125,17405
24,6699,10310,100958,19742
25,7036,1788,98886,21968
26,10505,4913,100866,22148
27,8487,12068,98607,22994
28,9769,8299,99370,25142
29,8980,8115,101267,25578
30,4539,9931,99172,27840
31,9795,5570,102377,27916
32,1493,10239,97944,28779
33,12255,5310,98653,30218
34,11754,10040,98262,30220
35,10054,8030,99549,31084
36,6858,117,100343,31526
37,6123,11821,100619,32155
38,205,3500,100500,38078
39,911,2242,98875,39435
40,12134,2497,99658,39503
41,2997,9830,101645,39736
42,12010,641,100164,39868
43,2241,258,99659,39981
44,368,6633,99594,41947
45,3756,7011,100300,45378
46,10956,3621,99668,45705
47,1191,7621,100449,46246
48,7300,4786,99362,46511
49,9334,10502,98492,47067
50,11236,9783,99543,47879
51,5574,1775,99457,48045
52,1578,12194,100215,48300
53,8019,9277,100065,49362
54,163,1688,99803,52781
55,4694,7392,99136,52857
56,3283,1979,99309,53074
57,12214,7564,100308,53125
58,11018,9641,99207,53805
59,2659,8066,99425,53845
60,6328,10590,101397,54686
61,5924,4129,100288,54801
62,7543,1900,100174,55601
63,2806,9698,100245,56221
64,3447,1721,98762,57214
65,966,2734,100229,57390
66,865,4638,99574,59023
67,1864,2516,100193,59882
68,6827,10925,100195,60187
69,4222,858,100933,60926
70,10047,9587,100195,60940
71,5553,3049,100743,62351
72,12348,5173,98604,64823
73,104,8348,99821,65171
74,6323,2172,99685,65968
75,5881,12051,98698,66907
76,12533,453,99527,67042
77,1021,1757,100057,67054
78,280,5979,99496,67069
79,6142,2292,99693,67768
80,1704,11524,100151,68190
81,3662,12232,101029,70456
82,11435,3142,97656,71246
83,4505,10391,98330,71381
84,6379,12361,98360,71396
85,12398,7722,99660,71681
86,10505,11239,98915,73914
87,10606,7519,98672,74126
88,10252,7661,99481,74181
89,206,5467,100130,74690
90,11952,7506,98616,78331
91,1070,7868,100316,78566
92,7478,5430,98530,78902
93,9106,7635,101053,78979
94,11168,474,100764,80176
95,11717,11248,100862,80805
96,5866,4681,98635,81334
97,301,5224,98036,81473
98,8092,7305,98781,85115
99,5479,8819,98995,85435
100,5552,130,98837,87032
101,415,11450,100654,87760
102,3515,214,99154,89690
103,7035,6866,100320,89894
104,7449,1087,97233,91367
105,251,7401,99940,93037
106,4459,8279,101476,93119
107,3099,12788,100853,95122
108,11385,951,101087,95964
109,2438,2094,97361,98306
110,4491,6182,100546,99203
111,10914,4063,100877,99832
112,3345,2845,99852,100046
113,6249,6500,101219,100054
114,2709,6577,100794,101962
115,721,5411,100366,102891
116,3040,4153,101470,103539
117,2830,1986,100496,104679
118,7078,2032,100145,104835
119,12856,9778,99604,104884
120,6757,11698,100698,104906
121,4037,4220,100968,104990
122,10991,4581,100325,107981
123,2605,10753,101008,108368
124,1284,615,101300,109583
125,9879,7940,101302,110801
126,449,7616,99087,111101
127,4082,3344,100614,112216
128,4493,10135,100061,112806
129,8005,10185,98186,116248
130,1860,4678,100122,117027
131,5352,12683,100095,117253
132,12932,12918,102018,118000
