id,type,lease_fee_basis,lease_fee_base_sat,channel_fee_max_proportional_thousandths,channel_fee_max_base_msat,funding_weight,funding_feerate_perkw,lease_threshold,available_funds,min_their_funding,max_their_funding,per_channel_min,per_channel_max
0,LND,,,,,,,,,,,,
1,LND,,,,,,,,,,,,
2,LND,,,,,,,,,,,,
3,LND,,,,,,,,,,,,
4,LND,,,,,,,,,,,,
5,LND,,,,,,,,,,,,
6,LND,,,,,,,,,,,,
7,LND,,,,,,,,,,,,
8,LND,,,,,,,,,,,,
9,LND,,,,,,,,,,,,
10,LND,,,,,,,,,,,,
11,CLN,61,1610,112,44729,676,2078,0.9,9046162,100,10000000,100,10000000
12,LND,,,,,,,,,,,,
13,LND,,,,,,,,,,,,
14,LND,,,,,,,,,,,,
15,LND,,,,,,,,,,,,
16,LND,,,,,,,,,,,,
17,LND,,,,,,,,,,,,
18,LND,,,,,,,,,,,,
19,LND,,,,,,,,,,,,
20,LND,,,,,,,,,,,,
21,LND,,,,,,,,,,,,
22,LND,,,,,,,,,,,,
23,LND,,,,,,,,,,,,
24,LND,,,,,,,,,,,,
25,LND,,,,,,,,,,,,
26,LND,,,,,,,,,,,,
27,CLN,58,1550,113,58408,610,2931,1.0,6545717,100,10000000,100,10000000
28,LND,,,,,,,,,,,,
29,LND,,,,,,,,,,,,
30,LND,,,,,,,,,,,,
31,LND,,,,,,,,,,,,
32,LND,,,,,,,,,,,,
33,LND,,,,,,,,,,,,
34,LND,,,,,,,,,,,,
35,LND,,,,,,,,,,,,
36,LND,,,,,,,,,,,,
37,LND,,,,,,,,,,,,
38,LND,,,,,,,,,,,,
39,LND,,,,,,,,,,,,
40,LND,,,,,,,,,,,,
41,LND,,,,,,,,,,,,
42,CLN,66,1863,83,42725,589,2425,0.73,1632263,100,10000000,100,10000000
43,LND,,,,,,,,,,,,
44,LND,,,,,,,,,,,,
45,LND,,,,,,,,,,,,
46,LND,,,,,,,,,,,,
47,LND,,,,,,,,,,,,
48,LND,,,,,,,,,,,,
49,CLN,59,2257,117,54703,743,2749,0.98,3222030,100,10000000,100,10000000
50,LND,,,,,,,,,,,,
51,LND,,,,,,,,,,,,
52,LND,,,,,,,,,,,,
53,LND,,,,,,,,,,,,
54,LND,,,,,,,,,,,,
55,LND,,,,,,,,,,,,
56,LND,,,,,,,,,,,,
57,LND,,,,,,,,,,,,
58,CLN,60,2446,112,42673,582,2316,0.83,4028961,100,10000000,100,10000000
59,LND,,,,,,,,,,,,
60,LND,,,,,,,,,,,,
61,LND,,,,,,,,,,,,
62,LND,,,,,,,,,,,,
63,LND,,,,,,,,,,,,
64,LND,,,,,,,,,,,,
65,LND,,,,,,,,,,,,
66,LND,,,,,,,,,,,,
67,LND,,,,,,,,,,,,
68,LND,,,,,,,,,,,,
69,LND,,,,,,,,,,,,
70,LND,,,,,,,,,,,,
71,LND,,,,,,,,,,,,
72,CLN,60,2475,92,58105,574,2407,0.63,9144284,100,10000000,100,10000000
