id,sender_id,receiver_id,amount,start_time
0,7070,3509,9365,553
1,6849,3509,10555,788
2,10746,3509,9312,3007
3,8123,3509,8646,3833
4,1410,3509,9296,7678
5,12363,3509,9897,7760
6,10620,3509,10813,8325
7,9100,3509,11099,10851
8,4373,3509,10265,11317
9,2324,3509,8347,12357
10,10353,3509,10043,13270
11,6235,3509,9148,13850
12,4969,3509,9935,16061
13,391,3509,10968,16540
14,7506,3509,8888,17411
15,1539,3509,9661,17488
16,7087,3509,10603,17776
17,981,3509,10832,18871
18,4677,3509,9106,19309
19,11723,3509,9456,20977
20,3092,3509,10127,21681
21,1893,3509,11925,21748
22,8196,3509,9622,24463
23,6856,3509,11914,28516
24,5045,3509,11319,28744
25,10264,3509,9089,30612
26,2258,3509,8352,31926
27,7291,3509,9623,34658
28,6031,3509,11982,34750
29,5711,3509,7575,35023
30,4366,3509,9650,36426
31,2237,3509,12293,36483
32,7031,3509,10421,36600
33,5030,3509,7790,37464
34,8574,3509,9278,38488
35,4694,3509,10338,38808
36,10127,3509,10621,39750
37,757,3509,10921,39783
38,11185,3509,9673,43823
39,11185,3509,8771,44644
40,301,3509,10217,47713
41,5017,3509,10069,48284
42,3537,3509,9103,49475
43,7176,3509,11351,50055
44,6843,3509,11527,50732
45,6464,3509,9182,52807
46,6514,3509,11889,52901
47,4794,3509,10617,53553
48,345,3509,10916,54426
49,5732,3509,9156,57473
50,8646,3509,7400,57663
51,6479,3509,8828,57929
52,12998,3509,10176,58131
53,712,3509,8800,58250
54,5344,3509,11529,59510
55,4373,3509,8118,62558
56,7513,3509,10336,63003
57,9660,3509,9601,64320
58,5871,3509,10658,66613
59,3516,3509,8948,68272
60,4472,3509,9225,69513
61,12626,3509,9014,70104
62,5933,3509,9968,71921
63,2763,3509,8676,72650
64,1755,3509,10702,74615
65,5058,3509,8384,74898
66,3896,3509,12452,75986
67,3709,3509,9870,76812
68,1035,3509,10507,80066
69,1762,3509,9820,80466
70,8226,3509,9176,82792
71,3273,3509,9615,85393
72,5427,3509,9402,85946
73,277,3509,10506,86147
74,913,3509,9008,90040
75,9926,3509,9258,90492
76,12392,3509,9405,90840
77,1457,3509,9661,92042
78,7708,3509,7970,92720
79,10711,3509,8573,92754
80,7056,3509,9994,93763
81,340,3509,9903,94354
82,6316,3509,9971,94591
83,3610,3509,10440,94958
84,327,3509,8898,95034
85,2473,3509,9176,95351
86,8167,3509,8925,97128
87,6138,3509,9792,98198
88,9263,3509,10211,99016
89,10275,3509,10579,99914
90,7276,3509,9961,102436
91,8079,3509,10509,102518
92,5661,3509,9535,103050
93,3893,3509,11879,105277
94,3131,3509,9609,107014
95,11761,3509,9221,108051
96,7688,3509,10600,111427
97,7363,3509,9566,114414
98,11284,3509,10589,115304
99,2077,3509,10660,117873
100,12910,3509,9168,119303
101,10334,3509,9136,121212
102,12290,3509,9173,122132
103,6701,3509,9198,123144
104,6790,3509,7091,124755
105,11651,3509,9733,125307
106,5486,3509,9594,125629
107,9303,3509,9347,126317
108,1865,3509,10064,126693
109,8167,3509,9684,127000
110,638,3509,11690,128160
111,2653,3509,9672,129663
112,4783,3509,9507,130268
113,1956,3509,9584,132700
114,786,3509,9705,133841
115,598,3509,10154,134856
116,899,3509,10234,135041
117,9103,3509,10333,135358
118,11118,3509,10518,135437
119,7325,3509,10633,135703
